Zona;piso;Estrato;precio_millon;Area_contruida;parqueaderos;Banos;Habitaciones;Tipo;Barrio;cordenada_longitud;Cordenada_latitud
Zona Sur;2;6;880;237;2;5;4;Casa;pance;-76,463;3,43
Zona Oeste;2;4;1200;800;3;6;7;Casa;miraflores;-76,464;3,428
Zona Sur;3;5;250;86;NA;2;3;Apartamento;multicentro;-76,464;3,429
Zona Sur;NA;6;1280;346;4;6;5;Apartamento;ciudad jardín;-76,464;3,433
Zona Sur;2;6;1300;600;4;7;5;Casa;pance;-76,46438;3,43463
Zona Sur;3;6;513;160;2;4;4;Casa;pance;-76,46438;3,43463
Zona Sur;2;6;870;490;3;6;5;Casa;ciudad jardín;-76,46438;3,43463
Zona Sur;5;5;310;82,5;1;2;3;Apartamento;valle del lili;-76,46438;3,43463
Zona Sur;9;4;240;80;1;2;3;Apartamento;valle del lili;-76,46438;3,43463
Zona Sur;6;6;690;150;2;5;4;Apartamento;pance;-76,46478;3,42783
Zona Oeste;4;5;220;92;2;3;3;Apartamento;zona oeste;-76,46498;3,42881
Zona Sur;NA;5;230;70;1;2;2;Apartamento;valle del lili;-76,465;3,436
Zona Sur;NA;5;160;63;NA;2;2;Apartamento;valle del lili;-76,465;3,436
Zona Sur;6;5;200;71;1;2;3;Apartamento;valle del lili;-76,465;3,436
Zona Sur;NA;5;270;76;NA;2;3;Apartamento;valle del lili;-76,465;3,436
Zona Sur;10;4;170;60;NA;2;3;Apartamento;valle del lili;-76,46516;3,43519
Zona Sur;NA;6;650;255;2;5;5;Casa;ciudad jardín;-76,46541;3,43312
Zona Sur;2;5;290;91;1;3;3;Apartamento;valle del lili;-76,46542;3,43419
Zona Sur;3;6;550;136;2;4;4;Apartamento;pance;-76,46554;3,42933
Zona Sur;8;5;300;90;2;2;3;Apartamento;ciudad bochalema;-76,46554;3,42933
Zona Oriente;NA;3;110;180;1;2;4;Casa;ciudad talanga;-76,4657;3,43452
Zona Oriente;NA;3;95;120;NA;1;4;Casa;ciudadela del río;-76,466;3,43
Zona Sur;1;6;850;300;4;6;4;Casa;ciudad jardín;-76,46691;3,42334
Zona Sur;12;6;580;145;2;5;3;Apartamento;ciudad jardín;-76,46691;3,42334
Zona Sur;3;4;226;80;1;2;3;Apartamento;valle del lili;-76,46699;3,43477
Zona Sur;2;4;280;160;2;3;4;Casa;valle del lili;-76,467;3,4345
Zona Sur;8;5;280;80;1;3;3;Apartamento;valle del lili;-76,467;3,4345
Zona Sur;8;5;240;80,49;1;2;3;Apartamento;valle del lili;-76,467;3,4345
Zona Sur;5;4;157;60;NA;2;2;Apartamento;valle del lili;-76,467;3,435
Zona Sur;1;4;165;60;1;2;3;Apartamento;valle del lili;-76,467;3,4345
Zona Norte;2;3;135;56;1;1;3;Apartamento;torres de comfandi;-76,46745;3,40763
Zona Sur;9;4;250;86;1;2;3;Apartamento;valle del lili;-76,468;3,434
Zona Sur;1;6;900;330;2;4;4;Casa;pance;-76,46809;3,41664
Zona Sur;NA;6;480;94;2;2;2;Apartamento;parcelaciones pance;-76,46809;3,41664
Zona Sur;NA;6;570;137;2;5;4;Apartamento;pance;-76,46851;3,42544
Zona Sur;3;6;595;146;2;4;4;Apartamento;ciudad jardín;-76,46851;3,42544
Zona Sur;4;5;1450;1200;2;6;6;Casa;el ingenio;-76,46862;3,43624
Zona Sur;2;6;1500;980;6;5;3;Casa;parcelaciones pance;-76,46878;3,42561
Zona Sur;4;6;510;148;2;3;3;Apartamento;pance;-76,46947;3,42527
Zona Sur;10;4;195;60;NA;2;2;Apartamento;ciudad bochalema;-76,46947;3,42498
Zona Sur;3;4;225;78;1;2;3;Apartamento;valle del lili;-76,46994;3,42718
Zona Sur;7;4;255;77;1;2;3;Apartamento;valle del lili;-76,47;3,427
Zona Sur;3;4;175;59;1;2;2;Apartamento;bochalema;-76,47;3,427
Zona Sur;6;6;1200;211;2;3;3;Apartamento;pance;-76,47039;3,41435
Zona Sur;NA;5;250;84;1;3;4;Casa;valle del lili;-76,471;3,429
Zona Sur;2;6;550;143;3;3;3;Apartamento;pance;-76,47112;3,42049
Zona Sur;2;3;330;163;NA;4;6;Casa;melendez;-76,47123;3,42745
Zona Sur;2;5;180;63;1;2;3;Apartamento;ciudad bochalema;-76,47141;3,42066
Zona Sur;1;4;275;99;1;2;3;Apartamento;ciudad bochalema;-76,47141;3,42066
Zona Sur;1;4;290;98;2;3;3;Apartamento;ciudad bochalema;-76,47141;3,42066
Zona Sur;9;4;192;63;1;2;2;Apartamento;ciudad bochalema;-76,47167;3,42366
Zona Sur;7;4;210;80;1;2;3;Apartamento;ciudad bochalema;-76,47168;3,42367
Zona Sur;2;4;220;75;1;2;3;Apartamento;valle del lili;-76,47209;3,42493
Zona Sur;2;6;850;300;4;6;5;Casa;ciudad jardín;-76,47225;3,42115
Zona Sur;2;6;1550;358,82;2;6;5;Casa;zona sur;-76,4728;3,42147
Zona Sur;2;6;1450;412;4;6;5;Casa;ciudad jardín;-76,4728;3,42147
Zona Sur;2;6;1450;930;2;6;5;Casa;ciudad jardín;-76,4728;3,42147
Zona Norte;NA;5;400;212;NA;2;4;Casa;santa mónica residencial;-76,473;3,418
Zona Sur;3;6;700;280;2;4;4;Casa;pance;-76,47355;3,41248
Zona Sur;11;6;595;128;2;5;4;Apartamento;pance;-76,47355;3,41248
Zona Sur;5;6;315;85;2;2;3;Apartamento;ciudad jardín;-76,47355;3,41248
Zona Sur;3;3;130;58;NA;2;2;Apartamento;melendez;-76,47397;3,42529
Zona Sur;4;4;185;63;2;2;2;Apartamento;ciudad bochalema;-76,47414;3,41972
Zona Sur;2;6;780;263;3;5;3;Casa;zona sur;-76,47543;3,41958
Zona Sur;10;5;210;68;1;2;3;Apartamento;valle del lili;-76,47559;3,41268
Zona Sur;NA;6;738;307;NA;6;6;Casa;ciudad jardín;-76,476;3,41513
Zona Sur;NA;4;340;224;2;4;5;Casa;el cedro;-76,476;3,413
Zona Sur;3;5;590;450;2;4;5;Casa;valle del lili;-76,47678;3,42678
Zona Oriente;NA;3;165;80;NA;0;0;Casa;jose manuel marroquín;-76,47766;3,42456
Zona Sur;4;3;95;55;NA;2;3;Apartamento;nápoles;-76,47781;3,42581
Zona Norte;NA;3;78;54;2;1;3;Apartamento;chiminangos;-76,4782;3,44898
Zona Oriente;3;3;250;300;1;5;9;Casa;alfonso lópez;-76,47897;3,45313
Zona Oriente;1;3;350;350;NA;3;5;Casa;alfonso lópez;-76,47908;3,46466
Zona Oriente;1;3;180;136;NA;1;4;Casa;alfonso lópez;-76,4792;3,4639
Zona Sur;3;5;270;118;2;3;4;Apartamento;capri;-76,47922;3,43222
Zona Oriente;NA;3;160;69;3;2;4;Casa;alfonso lópez;-76,47967;3,45828
Zona Oriente;1;3;190;410;1;2;2;Casa;alfonso lópez;-76,47969;3,45105
Zona Oriente;2;3;58;50;1;1;2;Apartamento;alfonso lópez;-76,47978;3,45131
Zona Oriente;NA;3;215;154;NA;2;5;Casa;alfonso lópez;-76,48058;3,45203
Zona Oriente;NA;3;160;280;NA;4;6;Casa;marroquín iii;-76,481;3,431
Zona Oriente;NA;3;135;180;1;1;5;Casa;alfonso lópez;-76,48118;3,46091
Zona Oriente;1;3;115;111;1;2;4;Apartamento;alfonso lópez;-76,48141;3,45379
Zona Oriente;1;3;125;90;2;1;2;Casa;quintas de salomia;-76,48167;3,4708
Zona Oriente;NA;3;260;225;1;8;8;Casa;zona oriente;-76,4818;3,43482
Zona Oriente;1;3;200;146;1;2;4;Casa;alfonso lópez;-76,4818;3,45955
Zona Oriente;NA;3;175;140;NA;2;4;Casa;alfonso lópez;-76,48185;3,45806
Zona Sur;NA;4;450;210;NA;3;6;Casa;Colseguros Andes;-76,482;3,449
Zona Norte;NA;3;175;130;NA;3;4;Casa;brisas de los;-76,482;3,478
Zona Norte;NA;5;340;106;2;2;3;Apartamento;la flora;-76,482;3,435
Zona Oriente;NA;3;240;228;1;2;5;Casa;la floresta;-76,48209;3,44579
Zona Oriente;NA;3;280;260;NA;4;5;Casa;alfonso lópez;-76,48227;3,45388
Zona Oriente;1;3;155;65;1;2;4;Casa;quintas de salomia;-76,48235;3,46716
Zona Oriente;3;4;265;162;1;2;4;Casa;zona oriente;-76,48238;3,46786
Zona Norte;2;4;265;162;1;3;4;Casa;zona norte;-76,48238;3,46786
Zona Sur;9;4;280;81;1;2;3;Apartamento;valle del lili;-76,48252;3,41795
Zona Oriente;2;3;320;225;NA;3;8;Casa;alfonso lópez;-76,48256;3,45615
Zona Oriente;3;3;220;450;1;4;7;Casa;alfonso lopez;-76,4826;3,46768
Zona Norte;NA;3;120;130;1;2;4;Casa;floralia;-76,48271;3,47055
Zona Oriente;1;3;403;384;1;3;5;Casa;alfonso lópez;-76,48295;3,46266
Zona Sur;NA;5;320;149;NA;4;4;Casa;ciudad country;-76,483;3,466
Zona Sur;2;6;390;104;2;3;3;Apartamento;pance;-76,483;3,445
Zona Sur;1;5;370;87;2;3;3;Apartamento;ciudad jardín;-76,483;3,445
Zona Norte;NA;3;380;177;NA;0;0;Casa;gaitan;-76,48302;3,47252
Zona Norte;1;3;135;103;1;3;4;Apartamento;calimio norte;-76,48347;3,48626
Zona Oriente;1;3;450;162,5;NA;2;0;Casa;alfonso lópez;-76,48356;3,46416
Zona Oriente;NA;3;320;162;NA;2;5;Casa;alfonso lópez;-76,48368;3,46204
Zona Oriente;NA;3;220;129;1;3;2;Casa;zona oriente;-76,48377;3,45818
Zona Norte;1;3;75;54;1;2;3;Apartamento;calimio norte;-76,48381;3,48605
Zona Oriente;1;4;350;126;NA;3;3;Casa;alfonso lópez;-76,48383;3,45853
Zona Norte;3;3;125;140;1;2;4;Casa;calimio norte;-76,48386;3,48502
Zona Norte;NA;4;175;77;1;2;3;Apartamento;urbanización pacara;-76,48395;3,45104
Zona Oriente;3;3;350;450;1;4;5;Casa;zona oriente;-76,48399;3,45813
Zona Oriente;NA;3;190;275;NA;2;8;Casa;siete de agosto;-76,484;3,449
Zona Oriente;NA;3;160;136;NA;2;4;Casa;alfonso lópez i;-76,484;3,452
Zona Norte;NA;3;99;58;NA;1;3;Apartamento;comfenalco;-76,484;3,457
Zona Norte;1;3;95;55;NA;2;3;Apartamento;brisas de los;-76,484;3,468
Zona Oeste;NA;6;630;133;2;3;3;Apartamento;santa teresita;-76,48426;3,43948
Zona Norte;2;3;140;130;1;2;3;Casa;calimio norte;-76,48452;3,4863
Zona Sur;10;4;157;61;NA;2;3;Apartamento;valle del lili;-76,48456;3,41787
Zona Sur;NA;5;195;68;1;2;2;Apartamento;capri;-76,48456;3,45308
Zona Norte;2;3;110;57;1;2;3;Apartamento;puente del comercio;-76,48458;3,46987
Zona Norte;1;3;150;93;NA;1;4;Casa;la rivera;-76,48459;3,47624
Zona Sur;3;5;290;100;1;3;3;Apartamento;el ingenio;-76,48498;3,41789
Zona Norte;NA;3;380;400;1;3;7;Casa;jorge eliecer gaitán;-76,485;3,473
Zona Oeste;NA;6;750;267;3;3;3;Apartamento;la arboleda;-76,485;3,416
Zona Norte;1;3;140;102;NA;1;3;Casa;zona norte;-76,48518;3,47178
Zona Oriente;NA;3;290;260;2;4;8;Casa;siete de agosto;-76,48519;3,44992
Zona Oriente;2;3;85;70;NA;1;3;Casa;alfonso lópez;-76,48521;3,46191
Zona Oriente;NA;3;160;136;NA;2;4;Casa;barrio 7de agosto;-76,48543;3,45039
Zona Norte;NA;3;180;140;2;2;3;Casa;la rivera;-76,4855;3,45862
Zona Oriente;NA;3;320;272;2;4;8;Casa;siete de agosto;-76,48553;3,44927
Zona Norte;2;3;230;82;NA;6;6;Casa;la rivera;-76,4857;3,47264
Zona Norte;3;3;275;85;1;3;9;Casa;la rivera;-76,4857;3,47324
Zona Sur;2;4;300;180;1;3;3;Casa;ciudad 2000;-76,48579;3,44465
Zona Norte;NA;3;170;150;NA;2;4;Casa;quintas de salomia;-76,486;3,468
Zona Norte;NA;3;335;166;2;3;3;Casa;los guaduales;-76,486;3,452
Zona Oriente;NA;3;290;210;1;3;7;Casa;la ceibas;-76,486;3,459
Zona Norte;2;3;180;140;1;3;5;Casa;la rivera;-76,48628;3,47195
Zona Oeste;8;3;330;112;1;2;3;Apartamento;zona oeste;-76,48631;3,43012
Zona Sur;1;5;420;235;1;4;4;Casa;el limonar;-76,48639;3,46506
Zona Norte;NA;3;230;160;NA;2;3;Casa;acopi;-76,48641;3,44956
Zona Oriente;5;3;113;63;1;2;3;Apartamento;las ceibas;-76,48641;3,45411
Zona Oriente;5;3;113;63;1;2;3;Apartamento;las ceibas;-76,48641;3,4541
Zona Oriente;5;3;113;62;1;2;3;Apartamento;la base;-76,48642;3,45423
Zona Norte;3;3;155;62;1;2;3;Apartamento;villa del prado;-76,48647;3,46549
Zona Norte;1;3;158;65;1;2;3;Apartamento;villa del prado;-76,48647;3,46566
Zona Norte;1;3;158;65;1;2;3;Apartamento;villa del prado;-76,48652;3,46596
Zona Norte;2;3;155;66;1;2;3;Apartamento;zona norte;-76,48653;3,46607
Zona Oriente;1;3;165;90;1;2;3;Casa;las ceibas;-76,4866;3,45499
Zona Norte;3;3;159;63;1;2;3;Apartamento;villa del prado;-76,4866;3,46574
Zona Sur;9;4;190;77;1;3;3;Apartamento;el refugio;-76,48662;3,44603
Zona Oriente;1;3;200;136;1;2;3;Casa;siete de agosto;-76,48667;3,44669
Zona Norte;1;3;158;65;1;2;3;Apartamento;villa del prado;-76,48677;3,46566
Zona Oriente;3;3;400;163;2;3;3;Casa;alfonso lópez;-76,48684;3,45043
Zona Norte;NA;3;140;100;NA;2;3;Casa;villa del prado;-76,487;3,464
Zona Oriente;1;3;195;103;1;2;3;Casa;siete de agosto;-76,487;3,448
Zona Norte;NA;3;180;114;1;2;3;Casa;los guaduales;-76,487;3,444
Zona Oriente;NA;3;200;130;1;2;4;Casa;las ceibas;-76,487;3,453
Zona Norte;NA;3;80;44;NA;1;3;Apartamento;los alcázares;-76,487;3,477
Zona Sur;2;4;290;155;1;4;3;Casa;el refugio;-76,48703;3,45681
Zona Norte;NA;3;80;54;1;1;3;Apartamento;los alcazares;-76,48705;3,47591
Zona Norte;3;3;155;62;1;2;3;Apartamento;villa del prado;-76,48707;3,46684
Zona Norte;3;3;159;62;1;2;3;Apartamento;villa del prado;-76,48707;3,46684
Zona Norte;3;3;155;62;1;2;3;Apartamento;salomia;-76,48707;3,46684
Zona Norte;3;3;155;62;1;2;3;Apartamento;salomia;-76,48707;3,46684
Zona Norte;NA;3;160;100;1;2;3;Casa;calibella;-76,48724;3,4624
Zona Norte;3;3;155;60;1;2;3;Apartamento;villa del prado;-76,4873;3,46777
Zona Oriente;NA;3;125;108;2;2;4;Casa;las ceibas;-76,4874;3,45381
Zona Norte;3;3;159;62;1;2;3;Apartamento;zona norte;-76,48742;3,46587
Zona Norte;3;3;159;62;1;2;3;Apartamento;villa del prado;-76,4875;3,466
Zona Norte;2;3;175;250;NA;2;5;Casa;la rivera;-76,48753;3,47195
Zona Norte;NA;3;135;64;2;2;3;Apartamento;brisas de los;-76,48768;3,45244
Zona Norte;2;3;150;60;NA;2;3;Casa;zona norte;-76,48782;3,46793
Zona Norte;2;3;150;60;NA;2;3;Casa;zona norte;-76,48787;3,46791
Zona Norte;2;3;150;60;NA;2;3;Casa;zona norte;-76,48788;3,46789
Zona Norte;2;3;150;60;NA;2;3;Casa;zona norte;-76,48791;3,46789
Zona Oriente;1;3;355;160;3;4;4;Casa;las ceibas;-76,48792;3,45616
Zona Oriente;NA;3;220;100;1;1;3;Casa;la rivera i;-76,488;3,473
Zona Norte;NA;3;185;160;NA;2;5;Casa;la rivera i;-76,488;3,472
Zona Norte;2;3;220;144;NA;4;6;Casa;portada de comfandi;-76,488;3,468
Zona Sur;NA;6;1250;300;2;5;4;Casa;pance;-76,488;3,47
Zona Norte;NA;3;310;95;NA;4;5;Casa;las ceibas;-76,488;3,455
Zona Norte;NA;5;390;102;2;3;3;Apartamento;urbanización la flora;-76,488;3,464
Zona Sur;NA;4;300;91;NA;1;3;Apartamento;san fernando viejo;-76,488;3,459
Zona Norte;5;4;105;63;NA;1;3;Apartamento;metropolitano del norte;-76,488;3,479
Zona Norte;4;3;88;60;1;1;3;Apartamento;las ceibas;-76,488;3,453
Zona Norte;7;3;125;62;NA;2;3;Apartamento;alamos;-76,488;3,469
Zona Norte;NA;3;200;146;NA;3;4;Casa;brisas del guabito;-76,48801;3,46546
Zona Oriente;3;3;99;60;NA;1;3;Apartamento;las ceibas;-76,48813;3,45589
Zona Oriente;4;3;360;420;1;6;9;Casa;las ceibas;-76,48822;3,45936
Zona Norte;NA;3;145;95;1;2;3;Casa;el guabito;-76,48833;3,46557
Zona Norte;4;5;320;85;1;2;3;Apartamento;la flora;-76,48836;3,46047
Zona Sur;4;4;200;110;1;3;4;Apartamento;el refugio;-76,4884;3,48141
Zona Oriente;NA;3;260;90;NA;2;6;Casa;las ceibas;-76,48856;3,45496
Zona Oriente;3;3;500;474,63;NA;8;9;Casa;las ceibas;-76,48857;3,45659
Zona Oeste;3;6;450;149;1;3;2;Apartamento;arboledas;-76,48858;3,46912
Zona Sur;1;4;240;100;1;2;3;Apartamento;el refugio;-76,48859;3,4663
Zona Norte;6;5;370;83;1;2;2;Apartamento;oasis de comfandi;-76,48875;3,45904
Zona Norte;2;3;144;110;NA;2;3;Casa;villa del prado;-76,48888;3,46784
Zona Norte;2;3;270;250;NA;4;7;Casa;los guayacanes;-76,48888;3,47423
Zona Oriente;NA;3;105;62;1;1;3;Apartamento;las ceibas;-76,48899;3,45279
Zona Norte;NA;3;204;120;NA;3;4;Casa;villa del prado;-76,489;3,468
Zona Norte;NA;3;220;180;1;3;7;Casa;villa del prado;-76,489;3,468
Zona Norte;NA;3;220;90;NA;2;2;Casa;la rivera ii;-76,489;3,475
Zona Norte;NA;3;235;160;1;1;3;Casa;la rivera ii;-76,489;3,473
Zona Norte;2;3;219;183;NA;2;5;Casa;la rivera;-76,489;3,475
Zona Oriente;NA;3;320;250;5;4;4;Casa;las ceibas;-76,489;3,455
Zona Oriente;3;3;310;252;NA;8;8;Casa;las ceibas;-76,489;3,46
Zona Oriente;NA;3;220;180;NA;5;9;Casa;ceibas;-76,489;3,454
Zona Norte;NA;3;450;396;2;4;7;Casa;base aérea;-76,489;3,447
Zona Oeste;2;6;695;245;3;4;5;Apartamento;santa teresita;-76,489;3,48
Zona Oriente;1;3;190;117,94;1;1;3;Apartamento;siete de agosto;-76,4891;3,44563
Zona Oriente;1;3;105;70;NA;1;3;Casa;villa del lago;-76,48922;3,44351
Zona Norte;NA;3;110;65;NA;2;3;Apartamento;guaduales;-76,48922;3,48292
Zona Norte;10;4;138;61;NA;2;3;Apartamento;ciudad los álamos;-76,48922;3,47153
Zona Oriente;4;3;400;550;1;3;2;Casa;la floresta;-76,4893;3,44576
Zona Norte;4;3;120;70;1;2;3;Apartamento;los alcazares;-76,48932;3,47942
Zona Oriente;NA;3;199;144;NA;2;5;Casa;primitivo crespo;-76,48933;3,44454
Zona Oriente;NA;3;135;126;NA;2;5;Casa;villa del lago;-76,48939;3,44077
Zona Norte;2;3;145;75;1;2;3;Apartamento;san vicente;-76,48952;3,49576
Zona Sur;4;5;360;99;1;3;2;Apartamento;el ingenio;-76,48953;3,49684
Zona Oriente;NA;3;145;110;NA;4;4;Casa;fonaviemcali;-76,48957;3,48533
Zona Norte;1;4;132;55;1;2;3;Apartamento;los parques barranquilla;-76,48959;3,47501
Zona Norte;NA;3;155;110;1;3;4;Casa;Villa Del Prado;-76,48965;3,46639
Zona Norte;NA;3;80;48;1;1;3;Apartamento;la rivera;-76,48969;3,47609
Zona Oriente;NA;3;310;250;1;2;3;Casa;las ceibas;-76,48974;3,45531
Zona Norte;NA;3;280;100;NA;2;8;Casa;san luis;-76,48982;3,47992
Zona Oriente;2;3;150;140;NA;2;3;Apartamento;zona oriente;-76,48987;3,44202
Zona Norte;11;5;350;137;2;3;4;Apartamento;Prados Del Norte;-76,48995;3,4977
Zona Norte;2;3;162;75;NA;2;3;Casa;villa del prado;-76,48999;3,44882
Zona Norte;NA;3;180;138;1;2;5;Casa;la riviera;-76,49;3,474
Zona Norte;NA;3;245;250;1;3;8;Casa;paso del comercio;-76,49;3,493
Zona Oriente;3;3;350;250;NA;4;5;Casa;nueva base;-76,49;3,447
Zona Oriente;3;3;220;150;NA;5;8;Casa;las ceibas;-76,49;3,454
Zona Oriente;3;3;62;63;NA;1;2;Apartamento;villa del lago;-76,49;3,438
Zona Oeste;NA;6;1100;377;2;6;5;Casa;zona oeste;-76,49003;3,4494
Zona Norte;5;3;128;65;NA;1;2;Apartamento;brisas de los;-76,49006;3,49438
Zona Norte;NA;5;430;105;NA;3;3;Apartamento;acopi;-76,49006;3,46819
Zona Oeste;2;6;850;240;2;5;5;Casa;santa teresita;-76,49016;3,49415
Zona Norte;1;5;320;87;2;2;3;Apartamento;la flora;-76,4902;3,46879
Zona Norte;NA;3;140;70;NA;2;3;Casa;brisas de los;-76,49022;3,49374
Zona Norte;1;3;130;77;NA;3;3;Casa;villa del prado;-76,4903;3,46829
Zona Norte;NA;3;190;435;NA;0;0;Casa;acopi;-76,49032;3,43856
Zona Norte;3;3;85;60;1;1;3;Apartamento;chiminangos;-76,49036;3,47683
Zona Norte;NA;3;190;90;NA;4;6;Casa;la rivera;-76,49036;3,47367
Zona Norte;NA;3;110;62;NA;1;3;Casa;villa del prado;-76,49042;3,46639
Zona Norte;1;4;122;65;1;2;3;Apartamento;metropolitano del norte;-76,49043;3,48057
Zona Norte;1;3;75;50,64;NA;1;2;Apartamento;chiminangos;-76,49044;3,47682
Zona Norte;NA;3;110;100;NA;1;3;Apartamento;chiminangos;-76,49065;3,47723
Zona Oriente;2;3;260;156;NA;2;5;Casa;la nueva base;-76,49071;3,44883
Zona Norte;3;3;92;53;NA;1;3;Apartamento;los guaduales;-76,49072;3,43988
Zona Norte;5;3;110;64;1;1;3;Apartamento;metropolitano del norte;-76,49081;3,48314
Zona Sur;3;4;210;80;1;3;3;Casa;primero de mayo;-76,49098;3,47283
Zona Norte;2;3;162;120;NA;2;4;Casa;villa del prado;-76,491;3,468
Zona Norte;NA;3;143;61;NA;2;3;Casa;villa del prado;-76,491;3,468
Zona Norte;2;3;205;67;NA;2;6;Casa;urbanización la nueva;-76,491;3,45
Zona Oriente;NA;3;370;215;1;6;8;Casa;urbanización la nueva;-76,491;3,45
Zona Oriente;NA;3;120;60;1;3;2;Casa;siete de agosto;-76,491;3,442
Zona Oriente;2;3;350;153;6;4;6;Casa;santa bárbara;-76,491;3,469
Zona Oriente;NA;3;260;170;1;3;6;Casa;la nueva base;-76,491;3,447
Zona Oriente;3;3;310;252;NA;3;9;Casa;la nueva base;-76,491;3,446
Zona Norte;4;3;160;65;1;2;3;Apartamento;villa del sol;-76,491;3,47
Zona Oriente;1;3;80;60;NA;1;3;Apartamento;villa del lago;-76,491;3,435
Zona Norte;NA;5;550;155;2;4;3;Apartamento;urbanización la flora;-76,491;3,448
Zona Oriente;1;3;130;62;NA;1;3;Apartamento;la nueva base;-76,49105;3,44739
Zona Oriente;1;3;100;75;NA;1;3;Apartamento;la nueva base;-76,49105;3,44739
Zona Oriente;NA;3;80;90;NA;1;3;Casa;villa del lago;-76,49116;3,43816
Zona Norte;5;3;135;60;1;2;3;Apartamento;metropolitano del norte;-76,49116;3,48158
Zona Norte;NA;3;77;55;NA;1;3;Apartamento;chiminangos;-76,49119;3,47606
Zona Norte;NA;3;65;60;NA;1;3;Apartamento;Chiminangos;-76,4913;3,47745
Zona Norte;3;3;310;242;NA;3;9;Casa;villa del prado;-76,49133;3,46608
Zona Norte;4;3;80;60;NA;1;3;Apartamento;los alcazares;-76,49136;3,48549
Zona Norte;NA;3;100;70;1;2;3;Apartamento;metropolitano del norte;-76,49142;3,47963
Zona Norte;2;4;180;73;1;2;3;Apartamento;metropolitano del norte;-76,49158;3,4824
Zona Oeste;NA;3;85;57;NA;1;3;Apartamento;norte;-76,49159;3,47508
Zona Norte;NA;3;70;60;NA;1;3;Apartamento;los alcazares;-76,49159;3,48695
Zona Oriente;5;3;87;55;NA;1;3;Apartamento;la nueva base;-76,49171;3,44655
Zona Norte;NA;3;95;46;1;1;2;Apartamento;metropolitano del norte;-76,49173;3,48162
Zona Norte;NA;3;76;49;1;1;3;Apartamento;los alcazares;-76,49173;3,48801
Zona Norte;NA;3;132;90;NA;2;3;Casa;villa del prado;-76,49174;3,46544
Zona Norte;2;3;155;90;NA;2;3;Casa;villa del prado;-76,49174;3,46544
Zona Norte;2;3;118;115;NA;1;3;Casa;villa del prado;-76,49174;3,46544
Zona Norte;NA;3;145;70;NA;2;3;Casa;villa del prado;-76,49174;3,46544
Zona Sur;2;5;600;280;2;4;5;Casa;el limonar;-76,49177;3,4466
Zona Norte;1;3;96;45;NA;1;3;Apartamento;los alcazares;-76,49178;3,48867
Zona Norte;NA;3;135;72;NA;2;3;Apartamento;metropolitano del norte;-76,4918;3,48018
Zona Norte;5;3;75;60;NA;1;3;Apartamento;los alcazares;-76,49182;3,48713
Zona Norte;4;3;170;130;NA;2;3;Casa;villas de veracruz;-76,49188;3,47324
Zona Norte;NA;3;117;120;NA;1;3;Casa;villa del prado;-76,49189;3,46657
Zona Sur;8;5;300;86;2;2;2;Apartamento;el refugio;-76,49191;3,44648
Zona Norte;3;3;115;57;1;2;3;Apartamento;los alcazares;-76,49197;3,48571
Zona Norte;2;3;165;142;NA;4;6;Casa;floralia;-76,49198;3,49341
Zona Norte;NA;3;165;120;NA;2;2;Casa;villa del prado;-76,492;3,468
Zona Norte;2;3;168;91;NA;2;4;Casa;santa bárbara;-76,492;3,47
Zona Norte;3;3;350;200;NA;5;4;Casa;parque residencial el;-76,492;3,467
Zona Norte;NA;3;85;54;NA;2;3;Apartamento;villa del prado;-76,492;3,47
Zona Norte;4;5;320;85;1;2;3;Apartamento;urbanización la flora;-76,492;3,473
Zona Norte;5;3;78;49;NA;1;3;Apartamento;los alcázares;-76,492;3,488
Zona Norte;NA;3;70;46;NA;1;3;Apartamento;los alcázares;-76,492;3,488
Zona Oriente;1;3;110;60;NA;1;3;Apartamento;chiminangos 1 etapa;-76,492;3,477
Zona Sur;4;3;115;57;NA;1;3;Apartamento;bloques del limonar;-76,492;3,473
Zona Norte;NA;3;78;44;1;1;3;Apartamento;los alcazares;-76,49205;3,489
Zona Oriente;NA;3;93;80;1;1;3;Casa;villa del lago;-76,49211;3,43719
Zona Norte;2;3;120;120;NA;2;3;Casa;floralia;-76,49224;3,49461
Zona Norte;4;3;92;58;NA;1;3;Apartamento;los alcazares;-76,49239;3,48746
Zona Norte;1;3;127;60;NA;2;3;Apartamento;los andes;-76,49257;3,47067
Zona Norte;2;3;280;137;2;3;4;Casa;paseo de los;-76,49259;3,4704
Zona Norte;NA;3;98;90;NA;2;4;Apartamento;los guayacanes;-76,4926;3,47004
Zona Norte;NA;3;250;240;1;2;4;Casa;barranquilla;-76,49265;3,47429
Zona Norte;4;3;105;59;1;2;3;Apartamento;los alcazares;-76,49266;3,48552
Zona Norte;3;3;122;58;1;2;3;Apartamento;los alcazares;-76,49266;3,48552
Zona Norte;NA;3;250;72;NA;1;3;Casa;la rivera;-76,49275;3,47379
Zona Norte;NA;3;210;60;NA;2;3;Casa;villa del prado;-76,49277;3,46554
