DEFAULT;ANTIUEDAD;EDAD;CUOTA_TOTAL;INGRESOS
0;25;70;2168206;5926884
0;37;67;831924;7386389
0;33;68;1813668;4934933
0;9;67;175100;3868497
0;32;67;1792025;6657119
0;34;69;2651716;7796967
0;32;66;2040;6391719
0;31;68;184209;5766999
0;36;66;1230988;6372322
0;37;66;2062428;10390889
0;32;67;1890439;8761887
0;33;67;1663927;9420358
0;35;66;514988;4153012
0;33;66;707589;9213730
0;37;65;648630;8100996
0;26;66;2858848;8261401
0;35;66;555986;5890156
0;32;67;160661;4743710
0;30;65;327461;6703493
0;13;65;3943;2354942
0;19;65;919372;4330774
0;33;64;2270901;6873461
0;13;65;761471;6340423
0;37;65;1491411;5703654
0;27;64;1707129;7199317
0;11;64;402781;4815694
0;30;64;1049866;6712079
0;11;63;403970;2047728
0;34;65;2144913;8796179
0;17;63;1827496;6383442
0;13;64;1215644;4831559
0;32;64;1033636;8378629
0;36;63;1756631;5173982
0;31;62;926555;4853688
0;30;62;1678894;6612151
0;37;62;2404265;5688725
0;4;62;337186;3920213
0;9;63;1111360;4046137
0;30;63;193254;6888848
0;21;63;606663;5799506
0;37;63;1875777;7133391
0;33;62;512591;9696503
0;17;63;1176609;8380778
0;29;62;1830215;6531456
0;31;61;1589474;8062081
0;11;61;163442;7845784
0;10;62;1731977;5433317
0;33;62;954428;4828906
0;34;61;1263167;6572308
0;11;57;151003;7310683
0;37;71;2020297;5476053
0;22;68;47003;2777806
0;33;65;1433811;7078307
0;7;60;1375965;9906030
0;33;57;390329;8287941
0;21;56;2226497;7363334
0;23;57;553605;8155133
0;5;59;657625;5289856
0;17;51;519274;7707281
0;10;57;1372469;6322573
0;16;48;1467123;8260971
0;5;46;960942;5412579
0;7;46;900140;3148285
0;4;35;161412;3093808
0;4;55;1271904;6908283
0;16;48;824240;6447752
0;15;47;566537;7006492
0;7;46;288505;1068092
0;5;46;1001212;6487831
0;12;45;727995;848487
0;6;45;379946;5595244
0;33;57;1208463;8062726
0;15;55;3094575;7148159
0;12;52;235086;2256450
0;5;63;228186;3837899
0;18;51;3186593;7195832
0;13;46;1037118;6369743
0;7;61;777570;3094560
0;33;61;411874;9427018
0;34;61;122463;10172440
0;27;61;2140665;6783319
0;14;60;1251065;4554084
0;10;56;62787;2445903
0;9;59;285866;1928880
0;24;56;1136778;6224364
0;1;58;173335;3043016
0;9;58;1762555;7131564
0;5;57;941486;4857278
0;20;56;833157;5838940
0;23;59;762875;7341521
0;21;56;186407;6883772
0;6;59;690280;6796213
0;30;59;1126927;6842523
0;9;57;599899;2237539
0;20;58;1064431;5866018
0;28;56;1536342;4342749
0;4;56;396529;2950726
0;23;63;1220570;5138018
0;29;60;2097626;7320722
0;12;56;2220242;11475529
0;12;56;2977615;5586755
0;5;56;216900;7188423
0;17;57;902585;4233745
0;29;55;819205;10098688
0;16;56;328715;3806524
0;33;59;166517;6467523
0;13;57;678125;4142013
0;19;57;620472;7080636
0;26;58;2696390;7509466
0;18;54;478350;7856099
0;15;54;451256;2950726
0;18;58;87899;6918061
0;33;57;417713;8340064
0;16;55;596754;5290910
0;11;53;349167;5746374
0;11;53;853995;9586582
0;11;53;476201;3966517
0;13;55;484229;5427589
0;7;53;242141;3787613
0;22;52;1129407;3577861
0;12;52;1105443;4189368
0;7;51;316101;3148290
0;21;52;2182415;5540982
0;18;52;2115272;5038962
0;1;59;520005;7254702
0;12;50;1516888;6553805
0;10;51;2196702;7527884
0;11;52;880847;2872040
0;14;50;1629234;5810483
0;19;50;1281340;8726982
0;3;50;140192;8514445
0;20;50;1399;4857278
0;9;49;615950;3646860
0;9;49;2210708;6560897
0;19;49;3265902;9238981
0;5;48;761736;4969563
0;13;48;462765;5793919
0;13;49;1483012;5793059
0;5;47;803039;3741409
0;10;47;824974;3169100
0;8;45;233842;1683012
0;15;46;347267;4715443
0;10;47;589807;3890442
0;11;47;305264;2586380
0;11;46;1658237;4711897
0;17;45;2016555;4756274
0;12;45;2319648;6657065
0;14;45;1405025;3854984
0;5;45;1118646;3790836
0;11;44;798554;2873091
0;11;44;593460;3596935
0;2;45;1466913;4713240
0;17;43;2708186;5899112
0;5;43;174135;891411
0;13;56;1332790;4999649
0;15;53;1187828;4176655
0;17;48;510049;9303666
0;6;41;587693;4403946
0;5;38;314538;3427650
0;3;34;505144;2968844
0;1;33;42513;1285920
0;1;33;1197943;7950333
0;6;33;416638;1295455
0;0;33;242645;3182347
0;2;33;123769;2753944
0;3;33;858954;3631810
0;37;74;1067226;4453469
0;28;73;1004420;7569746
0;34;71;506704;8918792
0;18;71;148690;8397329
0;33;71;460664;6888079
0;36;72;1243426;8130862
0;13;70;194004;1957519
0;35;71;2505501;5295871
0;23;70;911595;4359846
0;37;70;193381;15264069
0;29;67;1221020;5245194
0;34;69;781593;4475944
0;32;70;1110519;5170976
0;5;59;1742941;7662013
0;12;51;879065;7322610
0;21;53;1749570;10837837
0;13;64;1393447;4532588
0;34;64;1866221;7569577
0;37;63;3788917;19548379
0;29;64;164309;22197021
0;15;62;3100222;9365879
0;6;61;2301194;6789121
0;11;62;1952969;4664834
0;3;60;136514;6460861
0;28;59;1990722;6092015
0;26;60;2639038;6814040
0;16;57;920613;6596785
0;19;55;2493188;16420079
0;21;54;1565965;6444421
0;12;53;321583;4641733
0;23;72;2132545;7296335
0;33;72;2205081;7662546
0;32;58;1879095;6470590
0;23;59;1316599;6828877
0;33;68;789118;1929698
0;23;61;576423;5105487
0;37;80;1073812;5573431
0;37;70;1683353;8471421
0;36;79;109235;7226599
0;37;74;3279907;7464580
0;6;33;601855;1648063
0;22;64;1842749;6199237
0;17;73;342724;3557046
0;2;73;55442;7222915
0;36;70;2937909;6951182
0;18;58;1130188;6597967
0;34;83;698641;3022708
0;30;65;1149061;7957532
0;37;72;146417;5923405
0;37;88;309656;3627705
0;37;85;830187;3899216
0;30;83;1231494;5511666
0;9;82;654811;2254493
0;21;75;425808;11107812
0;4;78;38104;5553398
0;37;74;3125447;7608488
0;3;36;656324;3740335
0;4;36;218508;2354942
0;3;35;70786;1183947
0;3;36;176505;1515045
0;2;35;420513;3363185
0;3;35;126441;3080000
0;5;35;91803;2243815
0;11;68;11131;3182759
0;20;64;172031;3430940
0;17;59;597201;6288418
0;26;73;69483;2335189
0;34;72;513754;3046111
0;12;51;2201293;5901906
0;5;35;872589;3476008
0;31;74;1330822;4903819
0;28;74;748070;6509849
0;1;50;48636;2586380
0;2;31;427976;3316444
0;8;57;1604761;3965268
0;32;72;1729128;6842988
0;8;55;1038645;3364260
0;13;53;192570;4687936
0;11;50;963071;3810177
0;9;47;571621;1955590
0;0;38;2859;2741436
0;7;53;153080;4033673
0;8;52;810771;3948788
0;33;68;286691;3398593
0;34;67;1133837;4643610
0;37;63;2310452;5532292
0;22;58;1360576;3258901
0;8;59;651614;2572950
0;18;58;2213019;5998611
0;6;48;292190;1472065
0;21;56;947780;4655701
0;11;51;798979;2942840
0;3;50;116930;3051580
0;10;69;92569;4473896
0;12;66;678778;3135787
0;30;66;1298333;3293462
0;37;65;114668;6924400
0;9;66;600378;2575000
0;33;62;549732;4123505
0;30;65;325978;3589927
0;30;66;632346;5394107
0;10;65;532538;3959329
0;15;65;389724;4692986
0;36;66;1414038;7286112
0;36;65;1386254;7546214
0;17;64;680463;4500000
0;21;64;1157329;3280574
0;34;64;379181;4507067
0;34;64;1086411;3136895
0;19;64;804500;2718216
0;20;64;1152168;5459061
0;12;64;617825;2835847
0;28;64;1185175;4375695
0;31;63;1714273;3761127
0;11;64;520248;6291228
0;36;62;6664588;16712773
0;27;63;1212444;8040626
