finca,mg,bio_aerea,bio_sub,bio_total,area_foliar,diametro,altura
FINCA_3,GENOTIPO_1,17.85,0.82,18.67,44.655,5.3,6
FINCA_3,GENOTIPO_1,12.08,1.15,13.23,36.985,4.4,4.6
FINCA_3,GENOTIPO_1,12.76,1.27,14.03,42.747,4.2,4.7
FINCA_3,GENOTIPO_1,12.09,1.21,13.3,43.147,3.8,4.3
FINCA_3,GENOTIPO_1,16.8,1.16,17.96,35.871,5.3,5.8
FINCA_3,GENOTIPO_1,17.61,1.06,18.67,49.154,5.2,6
FINCA_3,GENOTIPO_1,11.91,1.43,13.34,36.899,3.5,5
FINCA_3,GENOTIPO_1,14.08,1.32,15.4,42.005,4.1,4.6
FINCA_3,GENOTIPO_1,13.84,1.07,14.91,38.951,3.9,4.8
FINCA_3,GENOTIPO_1,16.49,1.24,17.73,45.214,5,5.2
FINCA_3,GENOTIPO_1,19.95,1.17,21.12,52.641,5.4,6
FINCA_3,GENOTIPO_1,17.05,1.44,18.49,46.655,4.5,5.1
